time/time_elapsed,train/n_updates,time/total_timesteps,time/episodes,time/fps,train/learning_rate,train/actor_loss,train/reward,train/critic_loss
753,7584,10112,4,13,0.01,1.6317622299907328,-0.0033538812,0.004506876098126162
1175,17696,20224,8,17,0.01,0.6475259809035666,-0.0033538812,0.0001814258336047473
1570,27808,30336,12,19,0.01,0.3803857014031161,-0.0033538812,8.606389255413589e-05
1984,37920,40448,16,20,0.01,0.21831249944346992,-0.0033538812,5.333024027918385e-05
2357,48032,50560,20,21,0.01,0.12224518605861577,-0.0033538812,4.147335807267983e-05
2694,58144,60672,24,22,0.01,0.06570716013194687,-0.0033538812,3.667773511022207e-05
3032,68256,70784,28,23,0.01,0.03223963891807354,-0.0033538812,3.6211830076175645e-05
3393,78368,80896,32,23,0.01,0.012704279317219942,-0.0033538812,3.549921122592285e-05
3779,88480,91008,36,24,0.01,0.0010322258099812402,-0.0033538812,3.560239088325851e-05
4160,98592,101120,40,24,0.01,-0.005973771607801333,-0.0033538812,3.5851224076116555e-05
4501,108704,111232,44,24,0.01,-0.009998296671163857,-0.0033538812,3.5815535870623064e-05
4851,118816,121344,48,25,0.01,-0.012908188740375063,-0.0033538812,3.5994628400301366e-05
5190,128928,131456,52,25,0.01,-0.013917219751408394,-0.0033538812,3.6350168798728903e-05
5539,139040,141568,56,25,0.01,-0.014757015411904129,-0.0033538812,3.629813534045545e-05
5946,149152,151680,60,25,0.01,-0.015143583975201826,-0.0033538812,3.6216029938506976e-05
6487,159264,161792,64,24,0.01,-0.015649268630217126,-0.0033538812,3.634412687432227e-05
7225,169376,171904,68,23,0.01,-0.01553555326816284,-0.0033538812,3.644722454581928e-05
7588,179488,182016,72,23,0.01,-0.015994538727682084,-0.0033538812,3.611553185182741e-05
7951,189600,192128,76,24,0.01,-0.016028498226476104,-0.0033538812,3.6495892492341596e-05
8283,199712,202240,80,24,0.01,-0.015993438709727664,-0.0033538812,3.602554802397853e-05
8594,209824,212352,84,24,0.01,-0.015830883513870825,-0.0033538812,3.6501464307283513e-05
8906,219936,222464,88,24,0.01,-0.01583740734782577,-0.0033538812,3.635371703616835e-05
9260,230048,232576,92,25,0.01,-0.016329600045433903,-0.0033538812,3.6385610810698324e-05
9637,240160,242688,96,25,0.01,-0.0161367448317948,-0.0033538812,3.597712127271688e-05
10018,250272,252800,100,25,0.01,-0.0159063746583872,-0.0033538812,3.656488059614506e-05
10350,260384,262912,104,25,0.01,-0.01604192308665996,-0.0033538812,3.666191452687518e-05
10676,270496,273024,108,25,0.01,-0.015866493784875573,-0.0033538812,3.660297218132229e-05
11002,280608,283136,112,25,0.01,-0.01584030982236602,-0.0033538812,3.63411740680977e-05
11344,290720,293248,116,25,0.01,-0.015893321166027197,-0.0033538812,3.64535168928284e-05
11669,300832,303360,120,25,0.01,-0.01595618478810898,-0.0033538812,3.637334703807362e-05
11995,310944,313472,124,26,0.01,-0.016148707214919733,-0.0033538812,3.646844410917466e-05
12321,321056,323584,128,26,0.01,-0.016179754378132617,-0.0033538812,3.6607232169600037e-05
12648,331168,333696,132,26,0.01,-0.016282140787564146,-0.0033538812,3.655762343643363e-05
12977,341280,343808,136,26,0.01,-0.016520774849215995,-0.0033538812,3.640154184008852e-05
13332,351392,353920,140,26,0.01,-0.01654374727108398,-0.0033538812,3.677322059528234e-05
13703,361504,364032,144,26,0.01,-0.016694482109771713,-0.0033538812,3.65257038218928e-05
14068,371616,374144,148,26,0.01,-0.01619763058297855,-0.0033538812,3.6207070768111254e-05
14422,381728,384256,152,26,0.01,-0.016250230819930003,-0.0033538812,3.6608909421017956e-05
14747,391840,394368,156,26,0.01,-0.016269389392595878,-0.0033538812,3.632902965945723e-05
15430,401952,404480,160,26,0.01,-0.016231512535905726,-0.0033538812,3.650625650682085e-05
